V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Occupation_codelist,Occupation,Provision_codelist,Provision
28.8,,0.3,Year,2016,K02000001,,,Total,,All,,All employees,,Defined benefit
18.7,,0.5,Year,2016,K02000001,,,Total,,All,,All employees,,Defined contribution
13.9,,0.6,Year,2016,K02000001,,,Total,,All,,All employees,,Group personal pension
0.6,,3.2,Year,2016,K02000001,,,Total,,All,,All employees,,Group self-invested personal pension
4.4,,1.1,Year,2016,K02000001,,,Total,,All,,All employees,,Group stakeholder pension
1.3,,2.2,Year,2016,K02000001,,,Total,,All,,All employees,,Unknown pension provision
32.4,,0.3,Year,2016,K02000001,,,Total,,All,,All employees,,No pension provision
11.7,,2.3,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Defined benefit
7.1,,3.1,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Defined contribution
2.0,,6.2,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Group personal pension
,x,27.0,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Group self-invested personal pension
0.8,,9.5,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Group stakeholder pension
0.3,,17.0,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Unknown pension provision
78.0,,0.5,Year,2016,K02000001,,,Less than £100,,All,,All employees,,No pension provision
16.0,,1.5,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Defined benefit
13.8,,1.6,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Defined contribution
4.6,,3.1,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Group personal pension
0.3,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Group self-invested personal pension
2.5,,3.9,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Group stakeholder pension
0.6,,8.4,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Unknown pension provision
62.2,,0.5,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,No pension provision
22.2,,1.2,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Defined benefit
22.3,,1.1,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Defined contribution
9.2,,2.0,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Group personal pension
0.3,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Group self-invested personal pension
3.8,,3.0,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Group stakeholder pension
1.3,,5.6,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Unknown pension provision
40.9,,0.8,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,No pension provision
24.3,,1.0,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,Defined benefit
22.8,,1.1,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,Defined contribution
14.7,,1.4,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,Group personal pension
0.4,,8.7,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,Group self-invested personal pension
4.8,,2.5,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,Group stakeholder pension
1.6,,4.5,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,Unknown pension provision
31.4,,0.9,Year,2016,K02000001,,,£300 - £400,,All,,All employees,,No pension provision
29.9,,1.0,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,Defined benefit
20.2,,1.3,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,Defined contribution
16.7,,1.5,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,Group personal pension
0.7,,8.1,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,Group self-invested personal pension
5.1,,2.8,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,Group stakeholder pension
1.6,,5.2,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,Unknown pension provision
25.9,,1.1,Year,2016,K02000001,,,£400 - £500,,All,,All employees,,No pension provision
33.9,,1.1,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,Defined benefit
19.5,,1.5,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,Defined contribution
17.4,,1.7,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,Group personal pension
0.7,,9.1,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,Group self-invested personal pension
5.4,,3.2,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,Group stakeholder pension
1.5,,6.4,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,Unknown pension provision
21.7,,1.5,Year,2016,K02000001,,,£500 - £600,,All,,All employees,,No pension provision
40.4,,0.6,Year,2016,K02000001,,,£600 and over,,All,,All employees,,Defined benefit
18.5,,1.0,Year,2016,K02000001,,,£600 and over,,All,,All employees,,Defined contribution
19.4,,1.0,Year,2016,K02000001,,,£600 and over,,All,,All employees,,Group personal pension
1.0,,4.7,Year,2016,K02000001,,,£600 and over,,All,,All employees,,Group self-invested personal pension
