V4_0,Time_codelist,Time,Geography_codelist,Geography,Country_codelist,Country,Flow_codelist,Flow,M&A_codelist,M&A
0,Year,1987,K02000001,,,Africa,,Outward,,Disposals
0,Year,1988,K02000001,,,Africa,,Outward,,Disposals
0,Year,1989,K02000001,,,Africa,,Outward,,Disposals
0,Year,1990,K02000001,,,Africa,,Outward,,Disposals
0,Year,1991,K02000001,,,Africa,,Outward,,Disposals
0,Year,1992,K02000001,,,Africa,,Outward,,Disposals
0,Year,1993,K02000001,,,Africa,,Outward,,Disposals
0,Year,1994,K02000001,,,Africa,,Outward,,Disposals
0,Year,1995,K02000001,,,Africa,,Outward,,Disposals
0,Year,1996,K02000001,,,Africa,,Outward,,Disposals
0,Year,1997,K02000001,,,Africa,,Outward,,Disposals
0,Year,1998,K02000001,,,Africa,,Outward,,Disposals
0,Year,1999,K02000001,,,Africa,,Outward,,Disposals
0,Year,2000,K02000001,,,Africa,,Outward,,Disposals
0,Year,2001,K02000001,,,Africa,,Outward,,Disposals
0,Year,2002,K02000001,,,Africa,,Outward,,Disposals
0,Year,2003,K02000001,,,Africa,,Outward,,Disposals
0,Year,2004,K02000001,,,Africa,,Outward,,Disposals
460,Year,2005,K02000001,,,Africa,,Outward,,Disposals
29,Year,2007,K02000001,,,Africa,,Outward,,Disposals
531,Year,2010,K02000001,,,Africa,,Outward,,Disposals
46,Year,2012,K02000001,,,Africa,,Outward,,Disposals
73,Year,2015,K02000001,,,Africa,,Outward,,Disposals
0,Year,1987,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1988,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1989,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1990,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1991,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1992,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1993,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1994,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1995,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1996,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1997,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1998,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,1999,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,2000,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,2001,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,2002,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,2003,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
0,Year,2004,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
738,Year,2005,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
692,Year,2006,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
1306,Year,2007,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
5224,Year,2008,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
609,Year,2009,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
667,Year,2010,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
7666,Year,2011,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
859,Year,2015,K02000001,,,Australasia & Oceania,,Outward,,Acquisitions
